k,inertia,silhouette_score,davies_bouldin_index
2,727.3830211719123,0.2595398417206189,1.4824056977546622
3,580.9203413711645,0.27577207839246926,1.4569837230208942
4,473.8931596110806,0.315167835815484,1.3090184051024194
5,415.9892803192343,0.3094853244182059,1.346336180891883
6,354.40859924166386,0.34013325557735863,1.073983924177574
7,309.59197102767735,0.36793797260081423,1.0662044396635164
8,278.0900120250481,0.40433282732905157,1.0189374575144001
