cluster,businesses,percentage,avg_rating,avg_reviews,website_pct,phone_pct,social_pct,electrical_pct,industrial_pct,main_category,main_city
0,7,5.785123966942149,,0.0,14.285714285714285,85.71428571428571,0.0,100.0,71.42857142857143,Electrical supply store,Setif
1,7,5.785123966942149,2.5142857142857147,3.5714285714285716,14.285714285714285,71.42857142857143,14.285714285714285,0.0,0.0,Construction company,Setif
2,18,14.87603305785124,4.5055555555555555,14.055555555555555,100.0,94.44444444444444,11.11111111111111,0.0,27.77777777777778,Construction company,Setif
3,11,9.090909090909092,,0.0,0.0,0.0,0.0,0.0,54.54545454545454,Construction company,Setif
4,22,18.181818181818183,4.8590909090909085,4.681818181818182,0.0,100.0,0.0,100.0,50.0,Electronics store,Setif
5,33,27.27272727272727,4.718181818181819,5.090909090909091,0.0,100.0,0.0,0.0,24.242424242424242,Construction company,Setif
6,14,11.570247933884298,4.735714285714287,3.0,0.0,0.0,0.0,0.0,14.285714285714285,Construction company,Setif
7,9,7.43801652892562,,0.0,22.22222222222222,100.0,11.11111111111111,0.0,22.22222222222222,Construction company,Setif
