business_id,business_name,category,city,wilaya,rating,review_count,has_website,has_phone,has_social_media,social_platform_count,electrical_related,industrial_related,latitude,longitude
B066,Ch Aménagement,Construction company,Setif,Setif,5.0,1.0,False,True,False,0.0,False,False,36.2004798,5.3846877
B067,"Department of urban planning, architecture and construction DUAC",Construction company,Setif,Setif,3.7,12.0,True,True,True,1.0,False,False,36.1834831,5.41008
B068,Mono DZ,Construction company,Setif,Setif,1.0,1.0,True,True,True,1.0,False,False,36.191192,5.418463
B069,MEKHALFI KAMEL,Construction company,Setif,Setif,,0.0,False,True,False,0.0,False,False,36.1994011,5.4376374
B070,مقاولة لعلى النوري,Construction company,Setif,Setif,5.0,2.0,False,True,False,0.0,False,False,36.1761969,5.4138375
B071,Kledarc,Construction company,Setif,Setif,,0.0,True,True,True,1.0,False,True,36.1910817,5.4093941
B072,Maison GM,Construction company,Setif,Setif,5.0,1.0,False,False,False,0.0,False,False,36.1746119,5.4080603
B073,SNC-MIBC,Road construction company,Setif,Setif,5.0,2.0,False,True,False,0.0,False,False,36.2030125,5.4524844
B074,Groupe hamzi carrelage et monocouche setif,Construction company,Ain Arnat,Setif,4.6,12.0,False,True,False,0.0,False,False,36.1525588,5.2991743
B075,"IRIS, unité de transformation de la tôle (UTT)",Construction company,Setif,Setif,5.0,1.0,False,False,False,0.0,False,False,36.1597867,5.417519
B076,شركة مهنانة بلال للإستراد و التصدير,Construction company,Setif,Setif,5.0,1.0,False,True,False,0.0,False,False,36.2057556,5.4326266
B077,Societé d'Etudes Techniques de Setif (SETS),Road construction company,Setif,Setif,4.2,30.0,True,True,False,0.0,False,False,36.1758394,5.4104815
B078,DZ LINE distributeur officiel Sétif,Construction company,Setif,Setif,5.0,2.0,False,False,False,0.0,False,False,36.2092048,5.4287498
B079,OCTOPUS CONSTRUCTION ENTREPRISE DE TRAVAUX DE BÂTIMENT TOUS CORPS D'ETAT,Home builder,Setif,Setif,3.0,2.0,False,False,False,0.0,False,False,36.190924,5.3916703
B080,Atelier Rf aluminium,Construction company,Setif,Setif,5.0,1.0,False,True,False,0.0,False,False,36.2047506,5.4192443
B081,SARL PROSATI,Construction company,Setif,Setif,4.3,6.0,False,True,False,0.0,False,True,36.1832481,5.4295984
B082,CTTP SETIF,Civil engineering company,Setif,Setif,5.0,1.0,False,False,False,0.0,False,False,36.205128,5.3716769
B083,ELBAR company,Construction company,Setif,Setif,,0.0,False,False,False,0.0,False,False,36.1897593,5.4107984
B084,FORMA TECH,Carpenter,Setif,Setif,4.0,3.0,False,True,False,0.0,False,False,36.2024139,5.432176
B085,CITAL SETIF,Construction company,Setif,Setif,3.0,1.0,False,False,False,0.0,False,False,36.1837512,5.448801
B086,AD FIXE SETIF,Construction company,Setif,Setif,,0.0,False,True,False,0.0,False,False,36.1984466,5.4346085
B087,Design and construction,Construction company,Setif,Setif,,0.0,False,False,False,0.0,False,False,36.2051066,5.4094972
B088,SARL S.M.P.A,Mechanical contractor,Setif,Setif,5.0,2.0,False,True,False,0.0,False,True,36.1919084,5.4186921
B089,Entreprise Travaux Publics,Construction company,Setif,Setif,,0.0,False,False,False,0.0,False,False,36.2044778,5.447326
B090,ETP BAOUTA SALAH-EDDINE,Real estate developer,Setif,Setif,3.0,1.0,False,True,False,0.0,False,False,36.1871869,5.4453001
B091,تينار,Construction company,Setif,Setif,4.0,5.0,False,False,False,0.0,False,False,36.1897593,5.4107984
B092,Snc sinane structures frères Benbahouche,Metal construction company,Setif,Setif,,0.0,False,True,False,0.0,False,False,36.1890011,5.4124947
B093,Seddik Valpaint Setif,Painter,Setif,Setif,4.9,10.0,False,True,False,0.0,False,False,36.2027543,5.4411559
B094,ISKEN - إسكان | Direction Générale,Real estate developer,Setif,Setif,5.0,1.0,True,True,False,0.0,False,False,36.1909133,5.4099139
B095,الديوان الوطني للمطبوعات المدرسية,Construction company,Setif,Setif,5.0,1.0,False,False,False,0.0,False,False,36.1481831,5.4445177
B096,Damani Design,Construction company,Setif,Setif,5.0,2.0,False,True,False,0.0,False,False,36.2050132,5.4340924
B097,Combatis Issaadi,Road construction company,Setif,Setif,,0.0,False,True,False,0.0,False,False,36.2011303,5.410523
B098,Eurl sediki l'annexe Sétif,Home builder,Setif,Setif,,0.0,False,False,False,0.0,False,True,36.1644135,5.4214867
B099,ETB LASMI MOURAD,Building firm,Setif,Setif,5.0,2.0,False,True,False,0.0,False,False,36.2046005,5.4503672
B100,"Archi-Design Architecture, Interior Design & Finishing Company",Architectural designer,Setif,Setif,4.9,35.0,True,True,False,0.0,False,False,36.1996266,5.4135511
B101,Bergerat Monnoyeur Algérie - Setif | BMA,Construction equipment supplier,Setif,Setif,4.0,6.0,True,True,False,0.0,False,True,36.16574,5.4234833
